"Name","model.r_max","model.l_max","model.num_layers","model.num_tensor_features","model.num_scalar_features","model.allegro_mlp_hidden_layers_width","test0_epoch/forces_mae","test0_epoch/forces_rmse","test0_epoch/per_atom_energy_mae","test0_epoch/per_atom_energy_rmse","test0_epoch/total_energy_mae","test0_epoch/stress_mae","test0_epoch/stress_rmse","test0_epoch/weighted_sum","val0_epoch/total_energy_mae","val0_epoch/stress_mae","val0_epoch/per_atom_energy_mae","val0_epoch/forces_mae","val0_epoch/forces_rmse","val0_epoch/per_atom_energy_rmse","val0_epoch/stress_rmse","val0_epoch/weighted_sum"
"hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256_fold2_seed1","5","2","2","32","128","256","0.1975450824475206","0.3072941490849798","0.02462453012442342","0.03309600176477531","2.338506627693693","0.007686903346096411","0.01471468643273325","0.13281646363359031","2.3918504371850164","0.0075652512356894","0.025672205623508058","0.20267870333775828","0.3157779541601255","0.03959875744257593","0.015083902840212451","0.1361676138605745"
"hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256_fold2_seed0","5","2","2","32","128","256","0.1892265195565249","0.30913749488846026","0.024010995501593812","0.03234478223680395","2.2832386275138488","0.007354613535864317","0.014471031600996245","0.12722634620690065","2.3171228968183297","0.007481710096632816","0.025014074012427688","0.1938275479644681","0.30738406362899034","0.04292155880873185","0.0221821990825618","0.13030834506120598"
"hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256_fold1_seed2","5","2","2","32","128","256","0.18759042560219624","0.30318411579204024","0.022875235737432647","0.029873040842084697","2.2156305804800653","0.007209861451871143","0.014222121257625196","0.1260874085808424","2.225571268519273","0.007135412112411646","0.02366506574655802","0.1974956558343374","0.3737898045661134","0.03136174580245679","0.014230553273452969","0.1325899100036016"
"hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256_fold1_seed1","5","2","2","32","128","256","0.18782903748871663","0.304311987917095","0.02373603542296749","0.034834277525483875","2.264896751848523","0.007744964192903388","0.01507599437170866","0.1264317370352814","2.290890141834139","0.007588878951812522","0.024061148217331872","0.1972765059328144","0.3728210799373582","0.03314248437201887","0.014892341205533729","0.1326001107717548"
"hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256_fold1_seed0","5","2","2","32","128","256","0.1878014892319327","0.30121535378340847","0.023519409661307795","0.032184872614390035","2.236364520923436","0.006942144814472642","0.013835461436047358","0.12614667752131264","2.215071034833848","0.007031574990756124","0.02417467099070503","0.19777050041998853","0.3727699207756132","0.03274364135982179","0.015152194027580014","0.13274327719419785"
"hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256_fold0_seed2","5","2","2","32","128","256","0.19257119900685585","0.30899798568671283","0.024343302060075747","0.032673294001947344","2.328607550945133","0.007774136986771272","0.015168619690562364","0.1295691668035809","2.2834352237849287","0.007788231382653038","0.02347487047622108","0.198645643399908","0.35107495180151516","0.03353515742154443","0.015685973238764743","0.13355872138207825"
"hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256_fold0_seed1","5","2","2","32","128","256","0.1949038340097614","0.30751625275744077","0.024146177658768517","0.030656557449030453","2.391381582685718","0.007878217158281877","0.015160903618981194","0.13113543825136692","2.3549925505360982","0.008188104157618658","0.024533382918247748","0.2012132078495781","0.3329492909102474","0.03875799123151811","0.01905674961178448","0.13539337341233712"
"hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256_fold0_seed0","5","2","2","32","128","256","0.19217961934970387","0.3016542971404603","0.02353873839650974","0.03178052546253852","2.2124687147583373","0.007201061473327747","0.0137852365346409","0.12911245056203813","2.2739456726586824","0.007485052830585677","0.02436569633793392","0.19813118787822911","0.35876283497184686","0.03947027050916622","0.016606611513045016","0.13313225540807935"
"hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128_fold2_seed2","5","2","2","32","128","128","0.20077048262160097","0.31274001965540027","0.02640946146054998","0.03609760721586755","2.504322407055302","0.007154874142259078","0.014251887227507197","0.1347869137644352","2.5608897832488515","0.007346109763502627","0.02808182880193526","0.2066954007027068","0.32060667666300036","0.050916851879904045","0.020846345513284743","0.13876979747401108"
"hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128_fold2_seed1","5","2","2","32","128","128","0.20053126005684596","0.3119475242992596","0.02608263713381832","0.040987127545152414","2.400968295553493","0.00839705173520191","0.01658967486332462","0.1350338412283706","2.4779681256541988","0.008340943526684758","0.026965681374899134","0.20558657263531113","0.3178491612432943","0.04731997468921578","0.01738961762975089","0.1383528671224681"
